Age,Male_0%_Base,Male_0.5%,Male_1.0%,Male_2.0%,Female_0%_Base,Female_0.5%,Female_1.0%,Female_2.0%
38,0.0015256500000000001,0.00151802175,0.0015103935,0.0014951370000000001,0.0012350500000000001,0.00122887475,0.0012226995,0.001210349
39,0.0016380000000000001,0.0016298100000000002,0.00162162,0.0016052400000000002,0.001326,0.0013193699999999998,0.00131274,0.00129948
40,0.0017640000000000002,0.00175518,0.0017463600000000002,0.0017287200000000002,0.001428,0.00142086,0.00141372,0.00139944
41,0.0019057500000000001,0.00189622125,0.0018866925,0.001867635,0.0015427499999999999,0.00153503625,0.0015273224999999997,0.0015118949999999999
42,0.0020674499999999998,0.00205711275,0.0020467754999999995,0.0020261009999999998,0.0016736499999999998,0.0016652817499999998,0.0016569134999999998,0.0016401769999999998
43,0.0022512,0.0022399440000000002,0.002228688,0.0022061760000000002,0.0018224,0.0018132880000000001,0.001804176,0.001785952
44,0.00246225,0.00244993875,0.0024376275,0.002413005,0.00199325,0.00198328375,0.0019733174999999998,0.0019533849999999998
45,0.00270795,0.0026944102500000002,0.0026808705000000003,0.002653791,0.00219215,0.00218118925,0.0021702285,0.002148307
46,0.0029935499999999998,0.00297858225,0.0029636144999999996,0.002933679,0.00242335,0.00241123325,0.0023991165,0.002374883
47,0.0033263999999999998,0.003309768,0.003293136,0.0032598719999999996,0.0026928,0.002679336,0.002665872,0.002638944
48,0.0037128,0.003694236,0.003675672,0.003638544,0.0030056,0.0029905720000000004,0.002975544,0.002945488
49,0.0041559,0.0041351205,0.004114341,0.004072782,0.0033642999999999998,0.0033474785,0.003330657,0.0032970139999999996
50,0.0046578,0.004634511,0.004611222,0.004564644,0.0037706,0.0037517469999999997,0.0037328939999999996,0.003695188
51,0.00521745,0.00519136275,0.0051652755,0.005113101,0.00422365,0.004202531749999999,0.0041814135,0.004139177
52,0.0058275,0.0057983625,0.005769225,0.00571095,0.0047175,0.0046939125,0.004670325,0.00462315
53,0.0064827,0.0064502865,0.006417873,0.006353046,0.0052479,0.0052216605,0.0051954209999999995,0.005142941999999999
54,0.007172550000000001,0.007136687250000001,0.007100824500000001,0.0070290990000000005,0.00580635,0.00577731825,0.0057482865,0.005690223
55,0.00788865,0.00784920675,0.0078097635000000006,0.007730877000000001,0.00638605,0.00635411975,0.0063221894999999995,0.006258329
56,0.008622600000000001,0.008579487,0.008536374000000001,0.008450148000000001,0.006980200000000001,0.006945299,0.006910398000000001,0.006840596000000001
57,0.009371250000000001,0.009324393750000002,0.0092775375,0.009183825000000001,0.00758625,0.00754831875,0.0075103875,0.007434525
58,0.01013355,0.01008288225,0.010032214499999999,0.009930879,0.00820335,0.00816233325,0.0081213165,0.008039283
59,0.01091265,0.010858086749999999,0.010803523499999999,0.010694397,0.00883405,0.00878987975,0.008745709499999999,0.008657369
60,0.0117201,0.0116614995,0.011602899,0.011485698,0.0094877,0.0094402615,0.009392823,0.009297946
61,0.01256745,0.012504612750000001,0.0124417755,0.012316101000000001,0.01017365,0.010122781749999999,0.0100719135,0.009970176999999998
62,0.013472550000000002,0.013405187250000002,0.013337824500000001,0.013203099000000001,0.01090635,0.01085181825,0.010797286500000001,0.010688223
63,0.01445325,0.014380983750000001,0.0143087175,0.014164185000000001,0.011700249999999999,0.011641748749999998,0.0115832475,0.011466244999999998
64,0.0155316,0.015453942,0.015376283999999999,0.015220968,0.0125732,0.012510334,0.012447468,0.012321736
65,0.016728600000000003,0.016644957000000002,0.016561314000000004,0.016394028,0.0135422,0.013474489000000001,0.013406778000000001,0.013271356
66,0.0180663,0.0179759685,0.017885637,0.017704974000000002,0.014625099999999999,0.014551974499999999,0.014478848999999998,0.014332597999999998
67,0.01956675,0.01946891625,0.0193710825,0.019175415,0.01583975,0.01576055125,0.0156813525,0.015522955
68,0.021252000000000004,0.021145740000000003,0.021039480000000003,0.020826960000000002,0.017204,0.01711798,0.01703196,0.01685992
69,0.023142000000000003,0.02302629,0.022910580000000003,0.022679160000000004,0.018734,0.01864033,0.01854666,0.018359320000000002
70,0.0252609,0.0251345955,0.025008291,0.024755681999999998,0.0204493,0.0203470535,0.020244807,0.020040314
71,0.0276297,0.0274915515,0.027353403,0.027077106,0.0223669,0.022255065499999997,0.022143231,0.021919561999999997
72,0.0302736,0.030122232000000002,0.029970864,0.029668128000000002,0.0245072,0.024384664,0.024262128,0.024017056
73,0.033219900000000004,0.0330538005,0.032887701000000005,0.032555502,0.026892299999999997,0.0267578385,0.026623376999999997,0.026354453999999996
74,0.03649485,0.03631237575,0.0361299015,0.035764953,0.029543450000000002,0.029395732750000004,0.029248015500000002,0.028952581
75,0.04013205,0.039931389750000004,0.0397307295,0.039329409,0.03248785,0.03232541075,0.0321629715,0.031838093
76,0.04416405,0.04394322975,0.043722409500000003,0.043280769000000004,0.03575185,0.03557309075,0.0353943315,0.035036813
77,0.0486318,0.048388641,0.048145482,0.047659164000000004,0.039368600000000004,0.039171757,0.038974914000000006,0.038581228
78,0.0535752,0.053307324,0.053039448,0.052503696,0.043370399999999996,0.04315354799999999,0.042936695999999996,0.042502991999999996
79,0.059042550000000006,0.058747337250000004,0.05845212450000001,0.057861699,0.04779635,0.04755736825,0.047318386500000004,0.046840423
80,0.06508425,0.06475882875,0.0644334075,0.063782565,0.05268725,0.05242381375,0.0521603775,0.051633504999999996
81,0.0717549,0.07139612549999999,0.071037351,0.070319802,0.058087299999999994,0.0577968635,0.05750642699999999,0.056925553999999996
82,0.07911750000000001,0.0787219125,0.078326325,0.07753515000000001,0.0640475,0.06372726249999999,0.06340702499999999,0.06276654999999999
83,0.08723610000000001,0.08679991950000002,0.08636373900000001,0.085491378,0.07061970000000001,0.07026660150000001,0.069913503,0.06920730600000001
84,0.09618105,0.09570014475000001,0.0952192395,0.094257429,0.07786085,0.07747154575,0.0770822415,0.076303633
85,0.10602795000000001,0.10549781025,0.10496767050000001,0.103907391,0.08583215,0.08540298924999999,0.0849738285,0.08411550699999999
86,0.11685555,0.11627127225,0.1156869945,0.114518439,0.09459735,0.09412436325,0.0936513765,0.09270540299999999
87,0.1287468,0.128103066,0.12745933199999998,0.126171864,0.1042236,0.103702482,0.103181364,0.102139128
88,0.14178885,0.14107990574999998,0.1403709615,0.13895307299999998,0.11478145,0.11420754274999999,0.1136336355,0.11248582099999999
89,0.15607094999999999,0.15529059525,0.15451024049999998,0.15294953099999997,0.12634315,0.12571143424999998,0.1250797185,0.12381628699999998
90,0.17168235,0.17082393825,0.16996552650000002,0.168248703,0.13898095000000002,0.13828604525000002,0.13759114050000001,0.136201331
91,0.1887123,0.1877687385,0.186825177,0.184938054,0.1527671,0.15200326449999998,0.15123942899999998,0.149711758
92,0.20724900000000002,0.20621275500000003,0.20517651,0.20310402000000002,0.167773,0.166934135,0.16609527000000002,0.16441754
93,0.22737435,0.22623747825,0.2251006065,0.222826863,0.18406494999999998,0.18314462524999997,0.18222430049999996,0.18038365099999998
94,0.24916710000000003,0.24792126450000002,0.24667542900000003,0.24418375800000003,0.20170670000000002,0.20069816650000002,0.199689633,0.19767256600000002
95,0.2726913,0.2713278435,0.26996438700000003,0.26723747400000003,0.22075009999999998,0.21964634949999998,0.21854259899999998,0.21633509799999998
96,0.29800365,0.29651363175,0.2950236135,0.292043577,0.24124104999999998,0.24003484474999998,0.2388286395,0.23641622899999998
97,0.32514195,0.32351624025000003,0.3218905305,0.31863911100000003,0.26321015000000003,0.26189409925,0.26057804850000005,0.257945947
98,0.35412825,0.35235760875,0.35058696749999996,0.347045685,0.28667525,0.28524187375,0.2838084975,0.28094174499999996
99,0.3849615,0.3830366925,0.381111885,0.37726227,0.3116355,0.31007732250000003,0.308519145,0.30540279
100,0.41761965,0.41553155175,0.4134434535,0.409267257,0.33807305,0.33638268475,0.3346923195,0.33131158899999996
101,0.45205545,0.44979517275,0.44753489550000003,0.44301434100000003,0.36594964999999996,0.36411990175,0.36229015349999993,0.35863065699999996
102,0.4881975,0.4857565125,0.483315525,0.47843355,0.3952075,0.39323146249999996,0.391255425,0.38730335
103,0.5259492,0.523319454,0.520689708,0.5154302159999999,0.4257684,0.42363955799999997,0.421510716,0.41725303199999997
